Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,methodology
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1991,1991,1000 tonnes,100.94,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1992,1992,1000 tonnes,156.56,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1993,1993,1000 tonnes,113.48,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1994,1994,1000 tonnes,349.06,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1995,1995,1000 tonnes,236.91,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1996,1996,1000 tonnes,126.51,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1997,1997,1000 tonnes,134.17,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1998,1998,1000 tonnes,91.97,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1999,1999,1000 tonnes,93.75,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,2000,2000,1000 tonnes,171.96,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,2001,2001,1000 tonnes,102.37,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,2002,2002,1000 tonnes,134.92,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,2003,2003,1000 tonnes,87.29,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,2004,2004,1000 tonnes,160.05,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,2005,2005,1000 tonnes,178.94,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,2006,2006,1000 tonnes,156.36,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,2007,2007,1000 tonnes,198.15,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,2008,2008,1000 tonnes,220.45,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,2009,2009,1000 tonnes,254.47,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,2010,2010,1000 tonnes,246.96,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,2011,2011,1000 tonnes,203.12,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,2012,2012,1000 tonnes,237.77,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,2013,2013,1000 tonnes,172.53,I,Imputed value,old
